Configiguration 	 Energy
argon_graphite_10	-745.90152439275585
argon_graphite_11	-746.55618718651499
argon_graphite_12	-746.50747972136696
argon_graphite_13	-745.85287249721068
argon_graphite_14	-746.62638322336761
argon_graphite_15	-746.44072540966886
argon_graphite_16	-746.60096029168631
argon_graphite_17	-746.62525748950748
argon_graphite_18	-746.53500322204741
argon_graphite_19	-746.27817166073157
argon_graphite_1	-746.63166754614372
argon_graphite_20	-746.60294947692182
argon_graphite_21	-745.89336762869675
argon_graphite_22	-746.58948080133837
argon_graphite_23	-746.62530778725704
argon_graphite_24	-749.26591052830918
argon_graphite_25	-747.39680470393489
argon_graphite_26	-746.62766459614386
argon_graphite_27	-746.63477589503646
argon_graphite_28	-746.23381293527291
argon_graphite_29	-746.68011447917104
argon_graphite_2	-746.63089342160617
argon_graphite_30	-746.54667887063306
argon_graphite_31	-746.62420081296023
argon_graphite_3	-746.62020489052509
argon_graphite_4	-748.45673357929013
argon_graphite_5	-746.60311644047761
argon_graphite_6	-748.75602529316416
argon_graphite_7	-746.13927297045097
argon_graphite_8	-747.58519367448196
argon_graphite_9	-745.34318681135221
